filename,fft_anomaly_score,high_freq_energy,mid_freq_ratio,dct_score,phase_anomaly_score,dwt_score,anomaly_score,valid,error
01x5mmqg2sxy6yv2x4_0.jpg,0.3174629211425781,0.6461096405982971,0.776491641998291,0.1772937923669815,0.7661007046699524,0.13837207223290743,0.3363300258722197,True,
01x5mmqg2sxy6yv2x4_1.jpg,0.3648035526275635,0.6467369794845581,0.7873561382293701,0.3725348711013794,0.7817246913909912,0.09844997354016256,0.3968498941812228,True,
01x5mmqg2sxy6yv2x4_4.jpg,0.40261784195899963,0.648681640625,0.7926400899887085,0.6004781126976013,0.8199783563613892,0.0,0.4550314441323281,True,
01x5mmqg2sxy6yv2x4_5.jpg,0.503425657749176,0.6788866519927979,0.7959195375442505,0.0,0.7830814719200134,0.10991502719578533,0.35479828003537134,True,
02cgoah11bes1d6555_2.jpg,0.3354545533657074,0.6667023301124573,0.7737863063812256,0.20626220107078552,0.6489453315734863,0.09444015035589196,0.3176517403315696,True,
02cgoah11bes1d6555_3.jpg,0.4127504229545593,0.6666719913482666,0.7814765572547913,0.780116856098175,0.7448840737342834,0.057647674392574504,0.4999982116840111,True,
02cgoah11bes1d6555_4.jpg,0.5628345608711243,0.6884057521820068,0.8072159886360168,1.0,0.6663402915000916,0.0037608607149653833,0.5810123267479048,True,
02cgoah11bes1d6555_5.jpg,0.404377281665802,0.6681708693504333,0.7953531742095947,0.7694019675254822,0.5758381485939026,0.03170485862944947,0.45539114190907165,True,
03xuiwk051124zmgbn_0.jpg,0.3448421359062195,0.6447849869728088,0.7687074542045593,0.04646904766559601,0.8339645862579346,0.09842405413395475,0.3187897375619537,True,
03xuiwk051124zmgbn_1.jpg,0.3370046019554138,0.643541693687439,0.7637999653816223,0.06897532194852829,0.8354778289794922,0.09662335141687836,0.3216156772508011,True,
03xuiwk051124zmgbn_2.jpg,0.3316466212272644,0.6423543691635132,0.7615411877632141,0.21556852757930756,0.8164201974868774,0.12990880550910844,0.3592342499235667,True,
03xuiwk051124zmgbn_3.jpg,0.3657650351524353,0.6443824768066406,0.7709954380989075,0.10622593015432358,0.8253978490829468,0.11095497067714406,0.3418448087939514,True,
03xuiwk051124zmgbn_4.jpg,0.3458232283592224,0.6522719860076904,0.7708888649940491,0.2916393280029297,0.8042113780975342,0.0,0.35479023754596706,True,
03xuiwk051124zmgbn_5.jpg,0.36213451623916626,0.656999945640564,0.7714607119560242,0.41301098465919495,0.8141756653785706,0.0417940256604685,0.4011937650563147,True,
05nd62ciqe85hh8z6w_0.jpg,0.3937034010887146,0.7114810347557068,0.7954322695732117,0.17989298701286316,0.6551671028137207,0.10060435010069613,0.33392372771714923,True,
05nd62ciqe85hh8z6w_1.jpg,0.3992837071418762,0.7145981788635254,0.7983676195144653,0.2574360966682434,0.6526026725769043,0.09516514661313438,0.3536618855047252,True,
05nd62ciqe85hh8z6w_2.jpg,0.3922731280326843,0.7118672728538513,0.7970672249794006,0.5873143672943115,0.6493531465530396,0.10580384679833899,0.4351555853052931,True,
05nd62ciqe85hh8z6w_3.jpg,0.37516313791275024,0.7090138792991638,0.7981578707695007,0.4313139319419861,0.6529247164726257,0.09595603949209863,0.38891173244790395,True,
05nd62ciqe85hh8z6w_4.jpg,0.4103574752807617,0.7090122699737549,0.8002229332923889,0.37199506163597107,0.6431073546409607,0.09540859188933232,0.384327071063318,True,
05nd62ciqe85hh8z6w_5.jpg,0.40380746126174927,0.71379554271698,0.7973271608352661,0.13926608860492706,0.6677013039588928,0.10022494850868015,0.32973438408635863,True,
079i8grdxk6e5ltyak_1.jpg,0.54209965467453,0.6986058950424194,0.8102661371231079,0.42190709710121155,0.6216323971748352,0.12348218258871249,0.44423456936409794,True,
079i8grdxk6e5ltyak_2.jpg,0.5628393292427063,0.6988620162010193,0.8130191564559937,0.6397157311439514,0.6114916205406189,0.11852193966238665,0.5029254100615361,True,
079i8grdxk6e5ltyak_5.jpg,0.5622003674507141,0.6994633674621582,0.8106958270072937,0.59525066614151,0.6218110918998718,0.10918523860760096,0.4917820612446219,True,
0akumdgun2rpmx4z1l_0.jpg,0.3151475787162781,0.6860541701316833,0.7770261168479919,0.6142175197601318,0.5442800521850586,0.010726398890903183,0.37485732270592265,True,
0akumdgun2rpmx4z1l_1.jpg,0.1932637095451355,0.662212610244751,0.7673727869987488,0.20393094420433044,0.5648717284202576,0.0,0.23159938007593156,True,
0akumdgun2rpmx4z1l_2.jpg,0.2269820272922516,0.6683851480484009,0.773162305355072,0.28538697957992554,0.5741886496543884,0.0,0.2656281843781471,True,
0akumdgun2rpmx4z1l_3.jpg,0.20801393687725067,0.6667782068252563,0.7706252932548523,0.2673783004283905,0.5323856472969055,0.005089024016958557,0.24714438727690813,True,
0akumdgun2rpmx4z1l_4.jpg,0.2180090695619583,0.6687613725662231,0.7702104449272156,0.3754391074180603,0.5299775004386902,0.0,0.2761584512889385,True,
0akumdgun2rpmx4z1l_5.jpg,0.31939947605133057,0.6961826086044312,0.7909654974937439,0.6453907489776611,0.5843096971511841,0.054680720946054154,0.40093558748182867,True,
0apauiwt5nd0id0qx2_0.jpg,0.3233509361743927,0.6354113817214966,0.7748788595199585,0.18686480820178986,0.7431923747062683,0.1552009931588162,0.3395677032845018,True,
0apauiwt5nd0id0qx2_1.jpg,0.3909911811351776,0.6521847248077393,0.7800842523574829,0.18121963739395142,0.8195345997810364,0.15324140530194813,0.37670702376239695,True,
0apauiwt5nd0id0qx2_2.jpg,0.35200363397598267,0.6391151547431946,0.7782675623893738,0.2208581566810608,0.778895914554596,0.15722159017740664,0.3656393120082596,True,
0apauiwt5nd0id0qx2_3.jpg,0.3466866910457611,0.6327826976776123,0.777619481086731,0.36526408791542053,0.8144380450248718,0.16938102292980484,0.40942017743580683,True,
0apauiwt5nd0id0qx2_4.jpg,0.3271709084510803,0.637954592704773,0.7675270438194275,0.3964243531227112,0.7678393721580505,0.14802030512550857,0.39678784169526776,True,
0apauiwt5nd0id0qx2_5.jpg,0.3567717373371124,0.6531161665916443,0.7848119735717773,0.09657154977321625,0.7193762063980103,0.13409475963030543,0.3197071887169566,True,
0ato01hvgmeb48qin0_1.jpg,0.3269765377044678,0.665678083896637,0.7577086091041565,0.08557499200105667,0.5475817918777466,0.10929309503419045,0.26721051357921527,True,
